"classroom_key","classroom_code","classroom_name","building_name","room_type","capacity","has_air_conditioning"
"36","JDGCZX305","JDGC3#305","机电工程实训中心","多媒体教室","50","否"
"37","JXL404","JXL4#404","教学楼","多媒体教室","50","否"
"38","JYYSZX203","JYYS2#203-幼儿园虚拟仿真实训室","教育艺术中心","虚拟仿真实训室","80","是"
"39","JXL413","JXL4#413-古筝实训室","教学楼","琴房","50","否"
"40","HXGCZX306","HXGC3#306","化学工程实训中心","多媒体教室","50","否"
"41","JDGCZX312","JDGC3#312-PLC实训室","机电工程实训中心","电工实训室","50","否"
"42","JDGCZX311","JDGC3#311-电气控制实训室（二）","机电工程实训中心","电工实训室","50","否"
"43","ZHL5#511","5#511","综合教学楼","多媒体教室","80","否"
"44","JNL3#309-3号琴房（电钢）","3#309-3号琴房（电钢）","技能训练中心","琴房","80","否"
"45","XDNYZX101","XDNY1#101","现代农业实训中心","多媒体教室","35","否"
"46","JXL205","JXL2#205","教学楼","多媒体教室","50","否"
"47","XDNYZX206","XDNY2#206","现代农业实训中心","多媒体教室","35","否"
"48","JXL210","JXL2#210-美术实训室（一）","教学楼","美术教室","50","否"
"49","JDGCZX209","JDGC2#209-现代电气实训室","机电工程实训中心","现代电气控制实训室","50","否"
"50","XDNYZX203","XDNY2#203","现代农业实训中心","多媒体教室","35","否"
"51","ZHL3-301","3#301","综合教学楼","多媒体教室","50","否"
"52","ZHL5#507","5#507","综合教学楼","普通教室","80","否"
"53","CJ1-huagongchejian","CJ1-化工车间","车间","实训车间","80","否"
"54","XDNYZX103","XDNY1#103","现代农业实训中心","多媒体教室","35","否"
"55","ZHL5-509","5-509","综合教学楼","普通教室","50","否"
"56","JNL3#306-1号舞蹈室","3#306-1号舞蹈室","技能训练中心","舞蹈教室","80","否"
"57","HXGCZX210","HXGC2#210","化学工程实训中心","多媒体教室","50","否"
"58","JXL403","JXL4#403","教学楼","多媒体教室","50","否"
"59","JXL411","JXL4#411","教学楼","多媒体教室","50","否"
"60","JXL417","JXL4#417","教学楼","多媒体教室","50","否"
"61","SXL4#407","4#407","实训楼","普通教室","80","否"
"62","JXL321","JXL3#321","教学楼","多媒体教室","50","否"
"63","HXGCZX206","HXGC2#206","化学工程实训中心","多媒体教室","50","否"
"64","JXL503","JXL5#503","教学楼","多媒体教室","50","否"
"65","ZHL3-315","3#315","综合教学楼","普通教室","50","否"
"66","JDGCZX107","JDGC1#107-数控实训室","机电工程实训中心","实训车间","50","否"
"67","JXL405","JXL4#405","教学楼","多媒体教室","50","否"
"68","HXGCZX208","HXGC2#208","化学工程实训中心","多媒体教室","50","否"
"69","JXL506","JXL5#506","教学楼","多媒体教室","50","否"
"70","JXL504","JXL5#504","教学楼","多媒体教室","50","否"
"71","HXGCZX303","HXGC3#303","化学工程实训中心","多媒体教室","50","否"
"72","JXL209","JXL2#209","教学楼","机房","50","否"
"73","HXGCZX302","HXGC3#302","化学工程实训中心","多媒体教室","50","否"
"74","XDNYZX104","XDNY1#104","现代农业实训中心","多媒体教室","35","否"
"75","ZHL2-211","2#211","综合教学楼","多媒体教室","50","否"
"76","JNL3#304-1号琴房","3#304-1号琴房","技能训练中心","琴房","80","否"
"77","XDNYZX301","XDNY3#301-公共机房","现代农业实训中心","机房","50","否"
"78","XDNYZX210","XDNY2#210","现代农业实训中心","多媒体教室","35","否"
"79","JNL4#401-3号舞蹈室","4#401-3号舞蹈室","技能训练中心","舞蹈教室","80","否"
"80","HXGCZX108","HXGC1#108-化工实训车间(二)","化学工程实训中心","实训车间","120","否"
"81","JYYSZX314","JYYS3#314-电钢琴实训室（五）","教育艺术中心","琴房","50","否"
"82","SXL4#410","4#410","实训楼","普通教室","80","否"
"83","QCGCZX3-304","QCGCZX3-304-低压电工室(2)","汽车工程实训中心","汽修实训室","50","否"
"84","ZHL4-401","4#401","综合教学楼","多媒体教室","50","否"
"85","XDNYZX204","XDNY2#204","现代农业实训中心","多媒体教室","35","否"
"86","ZHL3-314","3#314","综合教学楼","普通教室","50","否"
"87","JXL521","JXL5#521","教学楼","多媒体教室","50","否"
"88","JNL1#-数控加工中心","1#数控加工中心","技能训练中心","多媒体教室","80","否"
"89","JXL223","JXL2#223","教学楼","多媒体教室","50","否"
"90","JXL513","JXL5#513","教学楼","多媒体教室","50","否"
"91","QCGCZX3-309","QCGCZX3-309-智能网联综合实训室","汽车工程实训中心","汽修实训室","100","否"
"92","JXL409","JXL4#409","教学楼","多媒体教室","50","否"
"93","JXL515","JXL5#515","教学楼","多媒体教室","50","否"
"94","ZHL4-403","4#403","综合教学楼","多媒体教室","50","否"
"95","JXL517","JXL5#517","教学楼","多媒体教室","50","否"
"96","SXL3#304","3#304","实训楼","多媒体教室","80","否"
"97","HXGCZX106","HXGC1#106-化工仿真实训室(二)","化学工程实训中心","化工仿真实训室","40","否"
"98","JYYSZX302","JYYS3#302-电钢琴实训室（二）","教育艺术中心","琴房","50","否"
"99","JYYSZX305","JYYS3#305-乐理实训室","教育艺术中心","声乐教室","50","否"
"100","SXL4#409","4#409","实训楼","普通教室","80","否"
"101","JNL3#305-1号声乐室","3#305-1号声乐室","技能训练中心","声乐教室","80","否"
"102","JDGCZX204","JDGC2#204-自动化生产线实训室","机电工程实训中心","自动化生产线实训室","50","否"
"103","SXL1#104","1#104","实训楼","多媒体教室","80","否"
"104","CJ1-qixiuchejian","CJ1-汽修车间","车间","实训车间","80","否"
"105","JDGCZX308","JDGC3#308-电气实训室（二）","机电工程实训中心","电工实训室","50","否"
"106","ZHL5#508","5#508","综合教学楼","多媒体教室","80","否"
"107","JNL2#208-液压气动室","2#208-液压气动","技能训练中心","液压气动实训室","80","否"
"108","ZHL2-xiaojifang","2#小机房","综合教学楼","机房","50","否"
"109","ZHL5-508","5-508","综合教学楼","普通教室","50","否"
"110","JXL415","JXL4#415-乐理实训室（一）","教学楼","声乐教室","50","否"
"111","ZHL2-202","2#202","综合教学楼","多媒体教室","50","否"
"112","JNL3#302-美术室","3#302-美术室","技能训练中心","美术教室","80","否"
"113","JYYSZX104","JYYS1#104-舞蹈实训室（四）","教育艺术中心","舞蹈教室","50","否"
"114","HXGCZX309","HXGC3#309","化学工程实训中心","多媒体教室","50","否"
"115","QCGCZX3-303","QCGCZX3-303-低压电工室(1)","汽车工程实训中心","汽修实训室","50","否"
"116","ZHL5-512","5-512","综合教学楼","普通教室","50","否"
"117","ZHL5-503","5#503","综合教学楼","普通教室","50","否"
"118","JNL3#307-2号舞蹈室","3#307-2号舞蹈室","技能训练中心","舞蹈教室","80","否"
"119","ZHL1-xiaojifang","1#小机房","综合教学楼","机房","50","否"
"120","ZHL4-410","4#410","综合教学楼","普通教室","50","否"
"121","XDNYZX211","XDNY2#211","现代农业实训中心","多媒体教室","35","否"
"122","ZHL4-404","4#404","综合教学楼","普通教室","50","否"
"123","ZHL3-dajifang","3#大机房","综合教学楼","机房","60","否"
"124","JXL216","JXL2#216","教学楼","机房","50","是"
"125","ZHL5#513","5#513","综合教学楼","普通教室","80","否"
"126","HXGCZX308","HXGC3#308","化学工程实训中心","多媒体教室","50","否"
"127","ZHL1-dajifang","1#大机房","综合教学楼","机房","60","否"
"128","JDGCZX203","JDGC2#203-逆向建模实训室","机电工程实训中心","电工实训室","50","否"
"129","JNL4-演播厅","4#演播厅","技能训练中心","公共教室","280","否"
"130","JXL401","JXL4#401","教学楼","多媒体教室","50","否"
"131","SXL2#208","2#208","实训楼","移动一体机","80","否"
"132","JNL1#-报告厅","1#报告厅","技能训练中心","多媒体教室","80","否"
"133","JNL2#206-现代电气控制室","2#206现代电气控制","技能训练中心","现代电气控制实训室","80","否"
"134","ZHL4-413","4#413","综合教学楼","多媒体教室","50","否"
"135","ZHL2-207","2#207","综合教学楼","多媒体教室","50","否"
"136","ZHL3-307","3#307","综合教学楼","普通教室","50","否"
"137","JYYSZX205","JYYS2#205-玩具实训室","教育艺术中心","多媒体教室","80","否"
"138","XDNYZX208","XDNY2#208","现代农业实训中心","多媒体教室","35","否"
"139","JDGCZX313","JDGC3#313-传感器实训室","机电工程实训中心","电工实训室","50","否"
"140","JXL311","JXL3#311","教学楼","多媒体教室","50","否"
"141","SXL3#308","3#308","实训楼","普通教室","80","否"
"142","ZHL2-205","2#205","综合教学楼","普通教室","50","否"
"143","CJ1-qczhcj","CJ1-汽车综合车间","车间","实训车间","80","否"
"144","XDNYZX304","XDNY3#304","现代农业实训中心","多媒体教室","80","否"
"145","SXL3#303","3#303","实训楼","普通教室","80","否"
"146","JXL507","JXL5#507","教学楼","多媒体教室","50","否"
"147","ZHL3-304","3#304","综合教学楼","普通教室","50","否"
"148","XDNYZX105","XDNY1#105","现代农业实训中心","多媒体教室","35","否"
"149","SXL1#110","1#110","实训楼","移动一体机","80","否"
"150","QCGCZX3-302","QCGCZX3-302-新能源动力电池实训室","汽车工程实训中心","汽修实训室","50","否"
"151","SXL2#206","2#206","实训楼","普通教室","80","否"
"152","JXL304","JXL3#304","教学楼","多媒体教室","50","否"
"153","ZHL1-xinlizhongxin","1#心理活动中心","综合教学楼","活动室","80","否"
"154","JXL322","JXL3#322","教学楼","多媒体教室","50","否"
"155","JYYSZX313","JYYS3#313-电钢琴实训室（四）","教育艺术中心","琴房","50","否"
"156","XXJSZX306","XXJS3#306教室","信息技术中心","普通教室","50","否"
"157","JXL204","JXL2#204","教学楼","多媒体教室","50","否"
"158","QCGCZX2-202","QCGCZX2-202-汽车电器设备实训室","汽车工程实训中心","汽修实训室","80","否"
"159","ZHL2-dajifang","2#大机房","综合教学楼","机房","60","否"
"160","JNL3#308-2号琴房（电钢）","3#308-2号琴房（电钢）","技能训练中心","琴房","80","否"
"161","JYYSZX102","JYYS1#102-舞蹈实训室（二）","教育艺术中心","舞蹈教室","50","否"
"162","JXL511","JXL5#511","教学楼","多媒体教室","50","否"
"163","ZHL5#510","5#510","综合教学楼","多媒体教室","80","否"
"164","ZHL5#509","5#509","综合教学楼","普通教室","80","否"
"165","SXL4#403","4#403","实训楼","普通教室","80","否"
"166","JXL410","JXL4#410","教学楼","多媒体教室","50","否"
"167","ZHL4402","4#402","综合教学楼","多媒体教室","50","否"
"168","SXL2#204","2#204","实训楼","多媒体教室","80","否"
"169","QCGCZX2-204","QCGCZX2-204-汽车发动机综合实训室","汽车工程实训中心","汽修实训室","80","否"
"170","HXGCZX305","HXGC3#305","化学工程实训中心","多媒体教室","50","否"
"171","XXJSZX305","XXJS3#305机房","信息技术中心","机房","50","否"
"172","ZHL3-312","3#312","综合教学楼","多媒体教室","50","否"
"173","ZHL4-409","4#409","综合教学楼","多媒体教室","50","否"
"174","XDNYZX202","XDNY2#202","现代农业实训中心","多媒体教室","35","否"
"175","ZHL2-209","2#209","综合教学楼","多媒体教室","50","否"
"176","JNL3#303-2号声乐室","3#303-2号声乐室","技能训练中心","声乐教室","80","否"
"177","JNL3#311-4号琴房（电钢）","3#311-4号琴房（电钢）","技能训练中心","琴房","80","否"
"178","SXL3#307","3#307","实训楼","普通教室","80","否"
"179","JXL406","JXL4#406","教学楼","多媒体教室","50","否"
"180","ZHL4-411","4#411","综合教学楼","多媒体教室","50","否"
"181","JYYSZX303","JYYS3#303-电钢琴实训室（三）","教育艺术中心","琴房","50","否"
"182","ZHL5-513","5-513","综合教学楼","普通教室","50","否"
"183","JXL211","JXL2#211","教学楼","公共教室","60","否"
"184","CJ1-qcjdwxcj","CJ1-汽车机电维修车间","车间","实训车间","80","否"
"185","JXL516","JXL5#516","教学楼","多媒体教室","50","否"
"186","XDNYZX207","XDNY2#207","现代农业实训中心","多媒体教室","35","否"
"187","JXL313","JXL3#313","教学楼","多媒体教室","50","否"
"188","QCGCZX2-203","QCGCZX2-203","汽车工程实训中心","多媒体教室","50","否"
"189","ZHL3-310jifang","3#310机房","综合教学楼","机房","50","否"
"190","SXL2-203","2#203","实训楼","多媒体教室","80","否"
"191","JXL320","JXL3#320","教学楼","多媒体教室","50","否"
"192","JXL509","JXL5#509","教学楼","多媒体教室","50","否"
"193","SXL1#103","1#103","实训楼","多媒体教室","80","否"
"194","JXL306","JXL3#306","教学楼","多媒体教室","50","否"
"195","ZHL3-313","3#313","综合教学楼","多媒体教室","50","否"
"196","QCGCZX2-201","QCGCZX2-201-汽车底盘实训室","汽车工程实训中心","汽修实训室","80","否"
"197","JYYSZX201","JYYS2#201-声乐实训室（一）","教育艺术中心","声乐教室","50","否"
"198","JNL2#205-网络实训室","2#205-网络实训室","技能训练中心","网络实训室","80","否"
"199","JXL408","JXL4#408","教学楼","多媒体教室","50","否"
"200","ZHL5-505","5#505","综合教学楼","多媒体教室","50","否"
"201","JDGCZX304","JDGC3#304","机电工程实训中心","普通教室","50","否"
"202","XDNYZX102","XDNY1#102","现代农业实训中心","多媒体教室","35","否"
"203","JXL407","JXL4#407","教学楼","多媒体教室","50","否"
"204","JXL421","JXL4#421","教学楼","多媒体教室","50","否"
"205","JDGCZX306","JDGC3#306","机电工程实训中心","电工实训室","50","否"
"206","JDGCZX303","JDGC3#303-智能仿真实训室","机电工程实训中心","虚拟仿真实训室","50","否"
"207","JXL308","JXL3#308","教学楼","多媒体教室","50","否"
"208","JDGCZX307","JDGC3#307-电气实训室（一）","机电工程实训中心","电工实训室","50","否"
"209","JXL419","JXL4#419","教学楼","多媒体教室","50","否"
"210","JXL315","JXL3#315","教学楼","多媒体教室","50","否"
"211","JXL508","JXL5#508","教学楼","多媒体教室","50","否"
"212","SXL3#306","3#306","实训楼","普通教室","80","否"
"213","ZHL5-504","5#504","综合教学楼","多媒体教室","50","否"
"214","SXL3#301","3#301","实训楼","多媒体教室","80","否"
"215","QCGCZX3-308","QCGCZX3-308","汽车工程实训中心","普通教室","100","否"
"216","SXL4#405","4#405","实训楼","普通教室","80","否"
"217","JXL416","JXL4#416-乐理实训室（二）","教学楼","声乐教室","50","否"
"218","ZHL3-305","3#305","综合教学楼","普通教室","50","否"
"219","ZHL2-lubojiaoshi","2#录播教室","综合教学楼","多媒体教室","50","否"
"220","JDGCZX310","JDGC3#310-电气控制实训室（一）","机电工程实训中心","电工实训室","50","否"
"221","ZHL2-210","2#210","综合教学楼","多媒体教室","50","否"
"222","JXL224","JXL2#224","教学楼","公共教室","60","否"
"223","JXL505","JXL5#505","教学楼","多媒体教室","50","否"
"224","JXL310","JXL3#310","教学楼","多媒体教室","50","否"
"225","ZHL5-506","5#506","综合教学楼","普通教室","50","否"
"226","JXL309","JXL3#309","教学楼","多媒体教室","50","否"
"227","ZHL4-405","4#405","综合教学楼","多媒体教室","50","否"
"228","SXL1#107","1#107","实训楼","普通教室","80","否"
"229","JDGCZX210","JDGC2#210-钳工创新实训室","机电工程实训中心","实训车间","50","否"
"230","ZHL3-306","3#306","综合教学楼","多媒体教室","50","否"
"231","QCGCZX3-306","QCGCZX3-306-虚拟仿真实训室(2)","汽车工程实训中心","汽修实训室","50","否"
"232","ZHL5-507","5-507","综合教学楼","普通教室","50","否"
"233","ZHL2-212","2#212","综合教学楼","多媒体教室","50","否"
"234","JNL2#201-图书室","2#201-图书室（2）","技能训练中心","普通教室","80","否"
"235","ZHL2-201","2#201","综合教学楼","多媒体教室","50","否"
"236","JXL520","JXL5#520","教学楼","多媒体教室","50","否"
"237","SXL4#408","4#408","实训楼","普通教室","80","否"
"238","JXL121","JXL1#121-阶梯教室","教学楼","公共教室","215","是"
"239","JXL307","JXL3#307","教学楼","多媒体教室","50","否"
"240","JXL510","JXL5#510","教学楼","多媒体教室","50","否"
"241","QCGCZX3-307","QCGCZX3-307","汽车工程实训中心","多媒体教室","50","否"
"242","JNL3#310-婴幼儿卫生保健室","3#310-婴幼儿卫生保健","技能训练中心","幼儿保健室","80","否"
"243","JXL501","JXL5#501","教学楼","多媒体教室","50","否"
"244","ZHL5-501","5#501","综合教学楼","多媒体教室","50","否"
"245","JYYSZX207","JYYS2#207-幼儿游戏实训室","教育艺术中心","多媒体教室","80","否"
"246","JYYSZX202","JYYS2#202-声乐实训室（二）","教育艺术中心","声乐教室","50","否"
"247","JNL2#202-图书室","2#202-图书室（1）","技能训练中心","普通教室","80","否"
"248","HXGCZX301","HXGC3#301","化学工程实训中心","多媒体教室","50","否"
"249","ZHL5#512","5#512","综合教学楼","多媒体教室","80","否"
"250","HXGCZX311","HXGC3#311","化学工程实训中心","多媒体教室","50","否"
"251","ZHL2-203","2#203","综合教学楼","多媒体教室","50","否"
"252","QCGCZX1-101","QCGCZX1-101-汽车综合维修车间","汽车工程实训中心","实训车间","150","否"
"253","JYYSZX101","JYYS1#101-舞蹈实训室（一）","教育艺术中心","舞蹈教室","50","否"
"254","JDGCZX205","JDGC2#205","机电工程实训中心","多媒体教室","50","否"
"255","JXL215","JXL2#215","教学楼","公共教室","60","否"
"256","HXGCZX105","HXGC1#105-化工仿真实训室(一)","化学工程实训中心","化工仿真实训室","40","否"
"257","SXL2#205","2#205","实训楼","多媒体教室","80","否"
"258","ZHL5-502","5#502","综合教学楼","多媒体教室","50","否"
"259","SXL2#207","2#207","实训楼","普通教室","80","否"
"260","HXGCZX304","HXGC3#304","化学工程实训中心","多媒体教室","50","否"
"261","JXL213","JXL2#213-美术实训室（二）","教学楼","美术教室","50","否"
"262","ZHL3-311","3#311","综合教学楼","多媒体教室","50","否"
"263","JYYSZX301","JYYS3#301-电钢琴实训室（一）","教育艺术中心","琴房","50","否"
"264","XDNYZX205","XDNY2#205","现代农业实训中心","多媒体教室","35","否"
"265","JXL305","JXL3#305","教学楼","多媒体教室","50","否"
"266","JNL2#204-自动化生产线室","2#204-自动化生产线","技能训练中心","自动化生产线实训室","80","否"
"267","ZHL4-408","4#408","综合教学楼","多媒体教室","50","否"
"268","ZHL3-303","3#303","综合教学楼","多媒体教室","50","否"
"269","XDNYZX305","XDNY3#305","现代农业实训中心","机房","50","否"
"270","CJ1-kqf","CJ1-烤漆房","车间","实训车间","80","否"
"271","ZHL1-jietijiaoshi","1#阶梯教室","综合教学楼","普通教室","200","否"
"272","JDGCZX221","JDGC2#206-液压实训室","机电工程实训中心","液压气动实训室","50","否"
"273","QCGCZX3-305","QCGCZX3-305-虚拟仿真实训室(1)","汽车工程实训中心","汽修实训室","50","否"
"274","ZHL4-407","4#407","综合教学楼","普通教室","50","否"
"275","JYYSZX208","JYYS2#208-早期教育智慧实训室","教育艺术中心","多媒体教室","100","否"
"276","JXL318","JXL3#318","教学楼","多媒体教室","50","否"
"277","JNL2#207-机械装调室","2#207-机械装调","技能训练中心","机械装调实训室","80","否"
"278","JNL2#203-综合布线室","2#203-综合布线室","技能训练中心","网络综合布线室","80","否"
"279","ZHL5-510","5-510","综合教学楼","普通教室","50","否"
"280","JXL203","JXL2#203","教学楼","公共教室","60","否"
"281","JYYSZX103","JYYS1#103-舞蹈实训室（三）","教育艺术中心","舞蹈教室","50","否"
"282","ZHL4-412","4#412","综合教学楼","多媒体教室","50","否"
"283","JXL218","JXL2#218","教学楼","机房","50","是"
"284","JNL3#301-3号声乐室","3#301-3号声乐室","技能训练中心","声乐教室","80","否"
"285","CJ1-bjcj","CJ1-钣金车间","车间","实训车间","80","否"
"286","JXL317","JXL3#317","教学楼","多媒体教室","50","否"
"287","XDNYZX106","XDNY1#106-农业实训车间","现代农业实训中心","实训车间","120","否"
"288","HXGCZX107","HXGC1#107-化工实训车间(一)","化学工程实训中心","实训车间","120","否"
"289","XDNYZX303","XDNY3#303-会计实训室","现代农业实训中心","机房","50","否"
"999","UNKNOWN","Unknown Classroom","Unknown Building","Other","0","否"
